"filename", "language", "pip requirements", "Python", "JSON", "PowerShell", "Log", "Markdown", "comment", "blank", "total"
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 12, 35
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\ScarletMana\__init__.py", "Python", 0, 2, 0, 0, 0, 0, 0, 3, 5
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\ScarletMana\asgi.py", "Python", 0, 4, 0, 0, 0, 0, 8, 5, 17
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\ScarletMana\settings.py", "Python", 0, 81, 0, 0, 0, 0, 48, 36, 165
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\ScarletMana\urls.py", "Python", 0, 6, 0, 0, 0, 0, 24, 4, 34
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\ScarletMana\wsgi.py", "Python", 0, 4, 0, 0, 0, 0, 8, 5, 17
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\admin.py", "Python", 0, 12, 0, 0, 0, 0, 2, 3, 17
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\apps.py", "Python", 0, 17, 0, 0, 0, 0, 6, 7, 30
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\constants.py", "Python", 0, 30, 0, 0, 0, 0, 6, 9, 45
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\game_loop.py", "Python", 0, 20, 0, 0, 0, 0, 1, 8, 29
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\minecraft_llm_support_backend\app.py", "Python", 0, 0, 0, 0, 0, 0, 46, 1, 47
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\minecraft_llm_support_backend\characters.py", "Python", 0, 107, 0, 0, 0, 0, 69, 27, 203
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\minecraft_llm_support_backend\chatgpt.py", "Python", 0, 26, 0, 0, 0, 0, 3, 10, 39
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\minecraft_llm_support_backend\mcllm_backend.py", "Python", 0, 18, 0, 0, 0, 0, 10, 9, 37
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\minecraft_llm_support_backend\requirements.txt", "pip requirements", 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\minecraft_llm_support_backend\start.ps1", "PowerShell", 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\models.py", "Python", 0, 240, 0, 0, 0, 0, 75, 75, 390
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\resources.py", "Python", 0, 6, 0, 0, 0, 0, 1, 3, 10
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\tests.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2, 4
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\tools.py", "Python", 0, 41, 0, 0, 0, 0, 2, 19, 62
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\urls.py", "Python", 0, 27, 0, 0, 0, 0, 3, 7, 37
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\main\views.py", "Python", 0, 424, 0, 0, 0, 0, 49, 100, 573
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\manage.py", "Python", 0, 15, 0, 0, 0, 0, 4, 6, 25
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\pyrightconfig.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\ScarletMana\sm.log", "Log", 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\back-end\requirements.txt", "pip requirements", 6, 0, 0, 0, 0, 0, 0, 2, 8
"Total", "-", 8, 1081, 8, 2, 13, 23, 366, 356, 1857