"filename", "language", "Markdown", "CSS", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 33, 71
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\package-lock.json", "JSON", 0, 0, 0, 0, 12724, 0, 1, 12725
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\package.json", "JSON", 0, 0, 0, 0, 52, 0, 1, 53
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\public\index.html", "HTML", 0, 0, 0, 20, 0, 23, 1, 44
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 1, 26
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\App.css", "CSS", 0, 50, 0, 0, 0, 3, 9, 62
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\App.js", "JavaScript", 0, 0, 18, 0, 0, 0, 5, 23
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\authority\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 1, 3
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\authority\login.css", "CSS", 0, 76, 0, 0, 0, 1, 11, 88
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\authority\login.js", "JavaScript", 0, 0, 81, 0, 0, 2, 15, 98
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\authority\login.module.css", "CSS", 0, 81, 0, 0, 0, 1, 14, 96
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\components\authComponent.js", "JavaScript", 0, 0, 11, 0, 0, 0, 1, 12
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 2, 14
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 3, 11
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\main\layout.js", "JavaScript", 0, 0, 77, 0, 0, 0, 9, 86
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\main\main.css", "CSS", 0, 173, 0, 0, 0, 0, 23, 196
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\main\messageBox.js", "JavaScript", 0, 0, 25, 0, 0, 0, 4, 29
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\main\operationComponent.js", "JavaScript", 0, 0, 255, 0, 0, 9, 19, 283
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\main\resourceComponent.js", "JavaScript", 0, 0, 44, 0, 0, 0, 9, 53
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\main\skillCard.js", "JavaScript", 0, 0, 61, 0, 0, 0, 10, 71
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\main\skillElement.js", "JavaScript", 0, 0, 24, 0, 0, 0, 7, 31
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\main\skillTree.js", "JavaScript", 0, 0, 115, 0, 0, 0, 18, 133
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\rank\rank.modal.js", "JavaScript", 0, 0, 46, 0, 0, 0, 13, 59
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\store\index.js", "JavaScript", 0, 0, 19, 0, 0, 0, 3, 22
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\store\login.strore.js", "JavaScript", 0, 0, 29, 0, 0, 3, 2, 34
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\store\message.store.js", "JavaScript", 0, 0, 84, 0, 0, 0, 9, 93
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\store\rank.store.js", "JavaScript", 0, 0, 127, 0, 0, 5, 16, 148
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\store\resource.store.js", "JavaScript", 0, 0, 57, 0, 0, 1, 3, 61
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\store\skill.store.js", "JavaScript", 0, 0, 112, 0, 0, 3, 12, 127
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\utils\http.js", "JavaScript", 0, 0, 25, 0, 0, 5, 4, 34
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\utils\index.js", "JavaScript", 0, 0, 4, 0, 0, 1, 2, 7
"d:\LiqisPode\school\ScarletMana\2023-BJTU-Web-Project\front-end\src\utils\token.js", "JavaScript", 0, 0, 15, 0, 0, 1, 5, 21
"Total", "-", 38, 392, 1239, 20, 12801, 58, 266, 14814